Price,Brand,Model,Edition,Year,Condition,Transmission,Body,Fuel,Capacity,Mileage
"5,395,000",Honda,Civic,Civic FD3,2007,Used,Automatic,Saloon,Petrol,"1,330 cc","195,000 km"
"4,800,000",Ford,Ranger,-,2005,Reconditioned,Manual,SUV / 4x4,Diesel,"2,900 cc","240,000 km"
"1,850,000",Mitsubishi,Lancer,Lancer cb2A,1993,Used,Manual,Saloon,Petrol,"1,500 cc","196,000 km"
"5,000,000",Suzuki,Alto,DGA/HA368 Alto,2016,Used,Automatic,Hatchback,Petrol,650 cc,"47,000 km"
"6,575,000",Toyota,Allion,240,2005,Used,Automatic,Saloon,Petrol,"1,500 cc","192,000 km"
"12,400,000",Mercedes Benz,C180,Avantgarde,2011,Used,Automatic,Saloon,Petrol,"1,800 cc","89,000 km"
"27,000,000",Mitsubishi,Montero,Mitsubishi,2014,Used,Automatic,SUV / 4x4,Diesel,"3,200 cc","53,000 km"
"4,490,000",Daihatsu,Mira,(used),2017,Used,Automatic,Hatchback,Petrol,660 cc,"43,300 km"
"7,995,000",Micro,Rexton,270 XDI,2008,Used,Automatic,SUV / 4x4,Diesel,"2,700 cc","152,123 km"
"7,050,000",Toyota,Vitz,KSP130,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","19,170 km"
"3,650,000",Nissan,Other Model,S-BMD21,1990,Used,Manual,SUV / 4x4,Diesel,"2,660 cc","191,000 km"
"7,990,000",Toyota,Aqua,G sport gs,2015,Used,Automatic,Hatchback,Hybrid,"1,500 cc","72,000 km"
"11,000,000",Mitsubishi,Montero,1st Owner,2003,Reconditioned,Tiptronic,SUV / 4x4,Petrol,"3,500 cc","110,000 km"
"825,000",Suzuki,Maruti,800,1988,Used,Manual,Hatchback,Petrol,800 cc,"90,000 km"
"43,000,000",BMW,i8,Fully loaded,2017,Used,Automatic,Saloon,Hybrid,"1,500 cc","4,900 km"
"2,780,000",Suzuki,Alto,Japan (Auto),2004,Used,Automatic,Hatchback,Petrol,600 cc,"129,400 km"
"6,300,000",Suzuki,Escudo,Helly Hansen 4WD,2007,Used,Automatic,SUV / 4x4,Petrol,"2,000 cc","175,000 km"
"31,500,000",Toyota,Harrier,Premium,2017,Used,Automatic,Station wagon,Petrol,"2,000 cc","32,000 km"
"24,000,000",Toyota,Hilux,Higest Grade cab,2019,Used,Automatic,SUV / 4x4,Diesel,"2,755 cc","11,000 km"
"22,500,000",Mitsubishi,Montero,sport 2013,2013,Used,Automatic,SUV / 4x4,Diesel,"2,500 cc","16,335 km"
"5,575,000",Toyota,Vitz,original Push Start,2010,Reconditioned,Automatic,Hatchback,Petrol,"1,000 cc","81,000 km"
"4,250,000",Perodua,Viva Elite,Automatic,2013,Used,Automatic,Hatchback,Petrol,"1,000 cc","75,000 km"
"9,850,000",Toyota,Axio,WXB DAA-NKE165,2017,Used,Automatic,Saloon,Petrol,"1,490 cc","89,409 km"
"11,125,000",Toyota,Prius,5th Generation,2016,Used,Automatic,Saloon,Electric,"1,790 cc","90,568 km"
"6,850,000",Honda,Insight,2012,2012,Used,Automatic,Saloon,Petrol,"1,330 cc","61,000 km"
"1,650,000",Tata,Indica,V2,2004,Used,Manual,Hatchback,Petrol,"1,500 cc","138,000 km"
"23,500,000",Mercedes Benz,C350,Premium Sport,2016,Used,Tiptronic,Saloon,Hybrid,"2,000 cc","64,000 km"
"16,500,000",Toyota,Hilux,Champ 2015,2015,Used,Automatic,SUV / 4x4,Diesel,"2,982 cc","148,500 km"
"7,300,000",Toyota,Other Model,Toyota Hilux Surf,2008,Used,Automatic,SUV / 4x4,Diesel,"2,982 cc","86,100 km"
"2,795,000",Suzuki,Alto,1st Owner,2015,Used,Manual,Hatchback,Petrol,800 cc,"46,316 km"
"7,250,000",Toyota,Prius,S Grade,2013,Used,Automatic,Station wagon,Hybrid,"1,800 cc","103,000 km"
"1,975,000",Micro,Trend,Micro,2010,Used,Automatic,Hatchback,Petrol,"1,000 cc","90,000 km"
"73,500,000",Land Rover,Range Rover,Vogue P400e,2018,Used,Automatic,SUV / 4x4,Petrol,"2,000 cc","18,000 km"
"10,950,000",Honda,Civic,Ex Turbo 1.0,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","53,000 km"
"7,150,000",Honda,Fit,GP5 L,2014,Used,Automatic,Hatchback,Hybrid,"1,500 cc","73,000 km"
"5,450,000",Suzuki,Wagon R FZ,Premium,2018,Used,Automatic,Hatchback,Hybrid,650 cc,"60,000 km"
"8,500,000",Honda,Grace,Ex 2014,2014,Used,Automatic,Saloon,Hybrid,"1,500 cc","62,000 km"
"7,350,000",Toyota,Vitz,Safety,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc","28,000 km"
"9,500,000",Honda,Accord,Full option,2008,Used,Automatic,Saloon,Petrol,"2,350 cc","83,000 km"
"5,675,000",Toyota,Prius,2nd Generation,2008,Used,Automatic,Saloon,Hybrid,"1,500 cc","132,000 km"
"14,000,000",Toyota,CHR,C-Hr Gt Gx50,2017,Used,Automatic,Hatchback,Petrol,"1,190 cc","23,000 km"
