,Price,Brand,Model,Edition,Year,Condition,Transmission,Body,Fuel,Capacity,Mileage
37205,19900000,Toyota,Harrier,Premium,2015,Used,Automatic,SUV / 4x4,Hybrid,"2,500 cc",92000
37206,7250000,Toyota,Allion,2006,2006,Used,Automatic,Saloon,Petrol,"1,500 cc",132000
37207,14600000,Audi,Q2,Q2,2017,Used,Automatic,SUV / 4x4,Petrol,"1,000 cc",24000
37208,6900000,Toyota,Allion,260,2007,Used,Automatic,Saloon,Petrol,"1,500 cc",92000
37209,3890000,Suzuki,Celerio,VXI Auto,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc",87000
37210,2600000,Nissan,March,1300 cc - Auto,1996,Used,Automatic,Hatchback,Petrol,"1,300 cc",170000
37211,45500000,Toyota,Land Cruiser Prado,Toyota,2017,Used,Automatic,Station wagon,Petrol,"2,700 cc",60000
37212,8650000,Toyota,Allion,G Grade 260,2010,Used,Automatic,Saloon,Petrol,"1,500 cc",92000
37213,6100000,Toyota,Corolla,141,2008,Used,Automatic,Saloon,Petrol,"1,590 cc",180000
37214,4465000,Suzuki,Wagon R FX,2018,2017,Used,Automatic,Hatchback,Hybrid,650 cc,65842
37215,8450000,BMW,i3,Hybrid,2018,Used,Automatic,Hatchback,Hybrid,650 cc,52000
37216,3395000,Toyota,Cynos,GT Turbo,2003,Used,Manual,Coup̩/Sports,Petrol,"1,300 cc",128000
37217,4575000,Toyota,Vitz,8 Air Bags,2008,Used,Automatic,Hatchback,Petrol,"1,000 cc",86000
37218,9300000,Toyota,Premio,Toyota,2013,Used,Automatic,Saloon,Petrol,"1,500 cc",61580
37219,3750000,Honda,City,-,2004,Used,Automatic,Saloon,Petrol,"1,500 cc",135000
37220,11800000,Toyota,Premio,G Superior White,2013,Used,Automatic,Saloon,Petrol,"1,500 cc",41000
37221,5650000,Suzuki,Wagon R Stingray,Hybrid,2018,Used,Automatic,Hatchback,Hybrid,650 cc,69000
37222,3400000,Nissan,Sunny,AUTO -1500 cc,2000,Reconditioned,Automatic,Saloon,Petrol,"1,500 cc",145000
37223,7990000,Toyota,Allion,260 G Grade,2008,Used,Automatic,Saloon,Petrol,"1,500 cc",99000
37224,990000,Nissan,Sunny,HB11,1985,Used,Manual,Saloon,Petrol,"1,200 cc",302400
37225,7500000,Toyota,Aqua,S,2016,Used,Automatic,Hatchback,Hybrid,"1,500 cc",71000
